100, 3286.267900004983
200, 20954.980000004172
300, 1648.840100005269
400, 1390.7994000017643
500, 1013.7562000006437
600, 1408.1080999970436
700, 2690.867700010538
800, 858.4616000056267
900, 3141.455799996853
1000, 548.3016999959946
1100, 1063.8261999934912
1200, 1628.629799991846
1300, 777.3631000071764
1400, 585.8000999987125
1500, 1354.73180000484
1600, 1142.6678999960423
1700, 975.1107000112534
1800, 767.4342999905348
1900, 264.31829999387264
2000, 153.76269999146461
2100, 645.8212999999523
2200, 123.03569999337196
2300, 1664.1436000019312
2400, 890.5957000106573
2500, 1702.4917999953032
2600, 3107.8580999970436
2700, 6530.686200007796
